"BARRIO","CODIGO"
"TODOS","TODOS"
"Los Conquistadores","1105"
"Girardot","0509"
"Patio Bonito","1421"
"Villa Hermosa","0801"
"Los Ángeles","1017"
"Manrique Central No.1","0409"
"Oleoducto","Inst_2"
"Las Granjas","0302"
"El Socorro","1319"
"San Benito","1006"
"Cerro Nutibara","1621"
"Cerro Nutibara","Inst_18"
"La Florida","1417"
"La Florida","8001"
"San Bernardo","1605"
"Campo Amor","1507"
"Manrique Central No.2","0307"
"Doce de Octubre No.1","0602"
"Las Palmas","9001"
"Las Palmas","1014"
"Universidad de Antioquia","Inst_11"
"Las Brisas","0502"
"Palermo","0403"
"Caribe","0517"
"Villa Nueva","1018"
"El Diamante","0711"
"Cristo Rey","1509"
"Sevilla","0407"
"San Pedro","0408"
"Las Esmeraldas","0411"
"Naranjal","1103"
"Naranjal","6005"
"Miranda","0415"
"Cucaracho","0718"
"Guayabal","1510"
"Moravia","0405"
"Betania","1312"
"Héctor Abad Gómez","0507"
"San Diego","1020"
"Las Playas","6015"
"Las Playas","1606"
"Prado","1001"
"Facultad de Minas U. Nacional","0705"
"La Candelaria","1019"
"Bolivariana","1107"
"Centro Administrativo","Inst_17"
"Perpetuo Socorro","1012"
"El Poblado","1418"
"San Antonio","0814"
"Calle Nueva","1011"
"Las Acacias","1109"
"Estación Villa","1005"
"Belalcázar","0508"
"Robledo","0717"
"Laureles","1108"
"San Miguel","0803"
"Los Mangos","0807"
"San Javier No.1","1309"
"El Progreso","0519"
"Granizal","0104"
"Francisco Antonio Zea","0513"
"Calasanz","1202"
"San Isidro","0402"
"Guayaquil","1007"
"Las Estancias","0815"
"Boston","1016"
"Rosales","1602"
"Las Lomas No.2","1407"
"Los Pinos","1203"
"Barrio Colón","1013"
"Diego Echavarría","1607"
"Campo Valdés No.1","0410"
"Universidad Nacional","Inst_8"
"Belén","1603"
"Trinidad","1503"
"Castropol","1404"
"Santa Inés","0304"
"El Salvador","0912"
"El Velódromo","1112"
"Picacho","0608"
"Manila","1419"
"Las Violetas","1616"
"La Palma","1614"
"La Palma","6001"
"El Chagualo","1004"
"Terminal de Transporte","Inst_4"
"Florencia","0503"
"Kennedy","0607"
"Bomboná No.1","1015"
"Altavista","1613"
"Moscú No.2","0105"
"La Mota","1608"
"Toscana","0501"
"Santa Fé","1504"
"Miraflores","0908"
"La América","1204"
"La Aguacatala","1422"
"El Pesebre","1301"
"El Raizal","0305"
"Villa Carlota","1403"
"Aures No.2","0712"
"La Alpujarra","Inst_16"
"Trece de Noviembre","0811"
"Fátima","1601"
"Santa Cruz","0210"
"Lorena","1111"
"Carlos E. Restrepo","1101"
"Los Balsos No.2","1415"
"San Pablo","7004"
"San Pablo","0107"
"Alejandro Echavarría","0905"
"Gerona","0911"
"La Pilarica","0706"
"Corazón de Jesús","1008"
"La Floresta","1205"
"Bello Horizonte","0714"
"Buenos Aires","0907"
"Manrique Oriental","0308"
"Lalinde","1405"
"Brasilia","0414"
"La Libertad","0812"
"San Joaquín","1104"
"Villatina","0813"
"La Loma de Los Bernal","1611"
"El Pinal","0810"
"Tricentenario","0510"
"Pedregal","0604"
"Los Colores","1114"
"Castilla","0511"
"Villa Flora","0715"
"Moscú No.1","0209"
"Santa Mónica","1209"
"La Gloria","1612"
"Las Lomas No.1","1406"
"Barrio Cristóbal","1210"
"Campo Alegre","1208"
"La Mansión","0802"
"Tejelo","0504"
"La Colina","1511"
"El Rodeo","Inst_20"
"Suramericana","1102"
"Los Alcázares","1304"
"San Germán","0703"
"Altamira","0708"
"Olaya Herrera","0722"
"Parque Juan Pablo II","Inst_19"
"Tenche","1502"
"El Danubio","1207"
"Nuevos Conquistadores","1315"
"Palenque","0716"
"Blanquizal","1302"
"Carpinelo","0112"
"B. Cerro El Volador","0702"
"U.D. Atanasio Girardot","Inst_14"
"Enciso","0808"
"San Martín de Porres","0606"
"Parque Norte","Inst_9"
"Doce de Octubre No.2","0603"
"El Pomar","0306"
"Campo Valdés No.2","0303"
"La Cruz","0311"
"El Rincón","1610"
"Barrio Colombia","1401"
"La Pradera","1306"
"La Piñuela","0412"
"Jesús Nazareno","1003"
"Santa Teresita","1212"
"Veinte de Julio","1310"
"Florida Nueva","1117"
"Sucre","0809"
"La Salle","0301"
"Barrio Caicedo","0906"
"La Avanzada","0111"
"La Francia","0205"
"Calasanz Parte Alta","1213"
"El Tesoro","1409"
"Boyacá","0505"
"La Rosa","0211"
"Simón Bolívar","1211"
"Cuarta Brigada","1115"
"Córdoba","0709"
"Alfonso López","0514"
"Versalles No.1","0309"
"Ocho de Marzo","0917"
"Andalucía","0206"
"Jardín Botánico","Inst_10"
"Bosques de San Pablo","0707"
"El Compromiso","0108"
"Popular","0103"
"Las Mercedes","1617"
"Santander","0601"
"Los Alpes","1615"
"Alejandría","1416"
"El Castillo","1414"
"San Javier No.2","1308"
"La Milagrosa","0910"
"La Esperanza","0605"
"La Esperanza","7006"
"Ferrini","1201"
"Villa Turbay","0816"
"Miravalle","1619"
"La Isla","0201"
"La Castellana","1110"
"Aures No.1","0713"
"La Frontera","0204"
"Cataluña","0909"
"Villa Niza","0208"
"Juan XXIII La Quiebra","1307"
"Los Balsos No.1","1411"
"Loreto","0913"
"San Lucas","1412"
"Cementerio Universal","Inst_3"
"Astorga","1420"
"Los Naranjos","1410"
"Santo Domingo Savio No.1","0101"
"Villa Guadalupe","0106"
"Juan Pablo II","0901"
"Las Independencias","1314"
"La Ladera","0804"
"Bomboná No.2","0903"
"Granada","1604"
"Picachito","0609"
"Altos del Poblado","1408"
"Belencito","1311"
"Villa del Socorro","0207"
"Santa Lucía","1206"
"El Salado","8006"
"El Salado","1316"
"El Nogal-Los Almendros","1620"
"Pajarito","0723"
"Pajarito","6012"
"Santa Margarita","0720"
"La Hondonada","1609"
"Antonio Nariño","1318"
"Oriente","0312"
"Aranjuez","0413"
"El Corazón","1313"
"Fuente Clara","0719"
"Los Cerros El Vergel","0904"
"Pablo VI","0203"
"Versalles No.2","0310"
"El Triunfo","0612"
"Hospital San Vicente de Paúl","Inst_12"
"Monteclaro","0724"
"Santa Rosa de Lima","1303"
"Llanaditas","0806"
"Eduardo Santos","AE3"
"Eduardo Santos","1317"
"Aldea Pablo VI","0109"
"Plaza de Ferias","Inst_1"
"Facultad Veterinaria y Zootecnia U.de.A.","Inst_6"
"Batallón Girardot","0805"
"Mirador del Doce","0610"
"La Sierra","0817"
"Metropolitano","1305"
"Asomadera No.1","0914"
